"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1600000US0653322","Oceanside city, California","172542","76","106036","2407","74680","2658","6646","868","199","103","12398","1295","783","298","1238","467","10092","1142","1131","326","8961","1136","66506","2409","16655","1965","659","394","2181","804","381","173","87","54","16575","1996","29968","2453","25634","2488","4334","614",
"1600000US0653378","Ocotillo CDP, California","157","112","89","77","89","77","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","68","73","0","14","0","14","0","14","0","14","0","14","47","64","21","33","21","33","0","14",
"1600000US0653448","Oildale CDP, California","34971","2264","24116","2165","20815","2040","667","330","180","127","479","309","104","73","362","329","1509","389","135","97","1374","383","10855","1405","2899","882","0","29","130","117","23","34","38","62","4269","1010","3496","718","2932","612","564","446",
"1600000US0653476","Ojai city, California","7576","23","6077","469","5404","516","27","31","0","19","372","283","0","19","27","32","247","177","9","14","238","177","1499","469","645","404","0","19","44","74","0","19","0","19","261","215","549","415","445","417","104","128",
"1600000US0653490","Olancha CDP, California","138","106","138","106","138","106","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0653503","Olde Stockdale CDP, California","363","194","363","194","357","191","0","14","0","14","0","14","0","14","0","14","6","10","0","14","6","10","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0653505","Old Fig Garden CDP, California","5387","840","2801","341","2245","335","60","56","23","32","155","88","18","23","103","107","197","134","42","40","155","118","2586","834","236","91","13","23","15","22","0","19","0","19","730","236","1592","783","1403","769","189","182",
"1600000US0653574","Old River CDP, California","203","217","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","203","217","87","188","0","14","0","14","0","14","0","14","116","178","0","14","0","14","0","14",
"1600000US0653602","Old Station CDP, California","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0653603","Old Stine CDP, California","3756","472","1607","384","1260","316","184","183","0","14","18","26","8","11","23","36","114","92","0","14","114","92","2149","397","538","311","79","131","20","19","0","14","0","14","414","219","1098","403","1037","411","61","87",
"1600000US0653714","Olivehurst CDP, California","19071","1212","11213","964","7602","965","776","245","157","116","1651","575","76","74","42","68","909","314","38","46","871","311","7858","811","3036","773","22","39","87","128","0","21","0","21","2654","778","2059","753","1599","665","460","415",
"1600000US0653882","Ono CDP, California","22","31","20","24","13","22","0","14","7","10","0","14","0","14","0","14","0","14","0","14","0","14","2","10","2","10","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0653896","Ontario city, California","178347","66","56591","2306","24519","1511","10763","1373","294","139","14828","1113","497","312","702","322","4988","941","1239","515","3749","819","121756","2311","27917","2606","699","380","3042","921","422","264","118","159","50569","2663","38989","2914","37013","2899","1976","564",
"1600000US0653910","Onyx CDP, California","574","359","463","275","306","267","0","14","0","14","57","90","0","14","0","14","100","117","0","14","100","117","111","179","0","14","0","14","0","14","0","14","0","14","111","179","0","14","0","14","0","14",
"1600000US0653980","Orange city, California","138723","68","83259","2405","55627","2089","1932","490","279","193","17971","1578","478","273","444","201","6528","997","1514","595","5014","815","55464","2406","18718","1828","274","163","1464","673","141","77","146","97","16118","1646","18603","1662","16750","1610","1853","536",
